7. الممتلكات الشخصية وسؤال الانتماء (Persönliche Sachen & Gehören),,
أ) مفردات الممتلكات الشخصية (مع أداة التعريف),,
الكلمة الألمانية,الأداة (Artikel),الترجمة العربية
Uhr,die,ساعة
Roller,der,سكوتر
MP3-Player,der,مشغل الأم بي ثري
Anorak,der,سترة (معطف واق)
Jeans,die,بنطلون الجينز
Handy,das,هاتف محمول
Sportschuhe,die (Plural),أحذية رياضية
Kapuzenjacke,die,جاكيت ذو قبعة (هودي)
T-Shirt,das,تي شيرت
Schirmmütze,die,قبعة ذات حافة
ب) قاعدة السؤال عن الانتماء (Gehören),,
نستخدم الفعل gehört (مفرد) / gehören (جمع) للسؤال عن ملكية شيء ما: Wem gehört...? = لمن يخص هذا...؟,,
الكلمة / التركيب,,الترجمة العربية
gehört,,"ينتمي / يخص (مفرد - Uhr, Roller...)"
gehören,,تنتمي / تخص (جمع - Sportschuhe...)
das ist,,هذا/هذه هو (ملكية مفردة مؤكدة)
das ist nicht,,هذا/هذه ليس هو (نفي مفرد)
das sind,,هذه هي (ملكية جمع مؤكدة)
das sind nicht,,هذه ليست هي (نفي جمع)
sein / seine,,له / ملكه (هو)
ihr / ihre,,لها / ملكها (هي)
ج) مثال حواري كامل (Übt zu zweit),,
"A: Wem gehört die Uhr? Stefan?   B: Ja, das ist seine Uhr. / Nein, das ist nicht seine Uhr.",,
لمن هذه الساعة؟ (تسأل عن ستيفان)   ب: نعم، هذه ساعته. / لا، هذه ليست ساعته.,,
