3. الأفعال الناقصة (Modalverben),,,,
ملاحظة: الأفعال الناقصة تأتي في المركز الثاني من الجملة، وتضع الفعل الأساسي في المصدر (Infinitiv) في نهاية الجملة.,,,,
الضمير (Pronomen),können (يستطيع/يقدر),wollen (يريد),müssen (يلزم/يجبر),möchten (يرغب)
ich (أنا),kann,will,muss,möchte
du (أنت),kannst,willst,musst,möchtest
er / es / sie,kann,will,muss,möchte
wir / sie / Sie,können,wollen,müssen,möchten
ihr (أنتم),könnt,wollt,müsst,möchtet
أمثلة على الاستخدام (Beispiele),,,,
الجملة الألمانية (Beispiel),الترجمة العربية,,,
Ich will Tennis spielen lernen.,,أريد أن أتعلم لعب التنس.,,
Dann muss ich einen Tenniskurs besuchen.,,إذن يجب أن ألتحق بدورة تنس.,,
Ich kann gut schwimmen.,,أنا أستطيع السباحة جيداً.,,
Ich möchte einen Ball kaufen.,,أرغب في شراء كرة.,,
