📚 قائمة المفردات الألمانية الشاملة - الصف الخامس الابتدائي (A2.1),,
الكلمة الألمانية (Deutsch),الترجمة العربية,الفئة (Kategorie)
wer,من (للعاقل),أدوات استفهام
was,ماذا / ما,أدوات استفهام
wo,أين,أدوات استفهام
woher,من أين,أدوات استفهام
wie alt,كم العمر,أدوات استفهام
wann,متى,أدوات استفهام
um wie viel Uhr,في أي ساعة,أدوات استفهام
wie,كيف,أدوات استفهام
wie lange,كم المدة,أدوات استفهام
wieviele,كم عدد,أدوات استفهام
sein,يكون,أفعال أساسية
haben,يملك,أفعال أساسية
wohnen,يسكن,أفعال أساسية
kommen,يأتي / يقدم من,أفعال أساسية
machen,يفعل,أفعال أساسية
heißen,يُسمى,أفعال أساسية
nehmen,يأخذ,أفعال متغيرة الحرف
essen,يأكل,أفعال متغيرة الحرف
sprechen,يتحدث,أفعال متغيرة الحرف
lesen,يقرأ,أفعال متغيرة الحرف
sehen,يشاهد / يرى,أفعال متغيرة الحرف
können,يستطيع / يقدر,أفعال ناقصة
wollen,يريد,أفعال ناقصة
müssen,يلزم / يجب,أفعال ناقصة
möchten,يرغب,أفعال ناقصة
mein / meinen,ملكي (لي),أدوات ملكية
dein / deinen,ملكك (لك),أدوات ملكية
sein / seinen,ملكه (له),أدوات ملكية
ihr / ihren,ملكها (لها),أدوات ملكية
unser / unseren,ملكنا (لنا),أدوات ملكية
euer / euren,ملككم (لكم),أدوات ملكية
ihr/Ihr / ihren/Ihren,ملكهم / ملك حضرتك,أدوات ملكية
der Ball,الكرة,رياضة وأدوات
Fußball spielen,يلعب كرة القدم,رياضة وأدوات
der Tennisschläger,مضرب التنس,رياضة وأدوات
Tennis spielen,يلعب التنس,رياضة وأدوات
der Badeanzug,ملابس السباحة (نسائي/كامل),رياضة وأدوات
die Badehose,سروال السباحة,رياضة وأدوات
schwimmen,يسبح,رياضة وأدوات
das Surfbrett,لوح ركوب الأمواج,رياضة وأدوات
surfen,يركب الأمواج,رياضة وأدوات
das Fahrrad,الدراجة الهوائية,رياضة وأدوات
Rad fahren,يركب الدراجة,رياضة وأدوات
das Pferd,الحصان,رياضة وأدوات
reiten,يمتطي / يركب الخيل,رياضة وأدوات
die Skier,زلاجات التزلج,رياضة وأدوات
die Skischuhe,أحذية التزلج,رياضة وأدوات
Ski fahren,يتزلج على الجليد,رياضة وأدوات
die Inlineskates,زلاجات التزلج بالعجلات,رياضة وأدوات
inlineskaten,يتزلج بالحذاء ذي العجلات,رياضة وأدوات
der Jogginganzug,ملابس الجري / الرياضة,رياضة وأدوات
joggen,يركض / يجري,رياضة وأدوات
ja,نعم,كلمات أساسية للحوار
nein,لا,كلمات أساسية للحوار
nicht,أداة نفي (ليس),كلمات أساسية للحوار
kein / keine,لا يوجد / لا (نفي اسم),كلمات أساسية للحوار
der Kurs,الدورة التدريبية,كلمات أساسية للحوار
lernen,يتعلم,كلمات أساسية للحوار
besuchen,يلتحق ب / يزور,كلمات أساسية للحوار
die Uhr,الساعة,الممتلكات الشخصية
der Roller,السكوتر,الممتلكات الشخصية
der MP3-Player,مشغل الأم بي ثري,الممتلكات الشخصية
der Anorak,سترة (معطف واق),الممتلكات الشخصية
die Jeans,بنطلون الجينز,الممتلكات الشخصية
das Handy,الهاتف المحمول,الممتلكات الشخصية
die Sportschuhe,الأحذية الرياضية,الممتلكات الشخصية
die Kapuzenjacke,الجاكيت ذو القبعة (هودي),الممتلكات الشخصية
das T-Shirt,التي شيرت,الممتلكات الشخصية
die Schirmmütze,القبعة ذات الحافة,الممتلكات الشخصية
gehören,ينتمي / يخص (جمع),الانتماء والملكية
gehört,ينتمي / يخص (مفرد),الانتماء والملكية
wem gehört...?,لمن يخص هذا...؟,الانتماء والملكية
sein,له / ملكه (هو),الانتماء والملكية
seine,له / ملكه (هو - مع المؤنث والجمع),الانتماء والملكية
ihr,لها / ملكها (هي),الانتماء والملكية
ihre,لها / ملكها (هي - مع المؤنث والجمع),الانتماء والملكية
der Vater,الأب,العائلة
die Mutter,الأم,العائلة
die Eltern,الوالدان,العائلة
der Opa (Großvater),الجد,العائلة
die Oma (Großmutter),الجدة,العائلة
die Großeltern,الأجداد,العائلة
der Bruder,الأخ,العائلة
die Schwester,الأخت,العائلة
die Geschwister,الإخوة (أخ وأخت),العائلة
der Sohn,الابن,العائلة
die Tochter,الابنة,العائلة
der Onkel,العم / الخال,العائلة
die Tante,العمة / الخالة,العائلة
der Freund,الصديق,العائلة
die Freundin,الصديقة,العائلة
die Freunde,الأصدقاء,العائلة
der Hund,الكلب,العائلة
die Katze,القطة,العائلة
das Baby,الرضيع,العائلة
das Kind,الطفل,العائلة
