2. تصريف الأفعال (Verbkonjugation),,,,,,
أ) الأفعال الأساسية والشائعة (Regelmäßige & Hilfsverben),,,,,,
الضمير (Pronomen),sein (يكون),haben (يملك),wohnen (يسكن),kommen (يأتي),machen (يفعل),heißen (يُسمى)
ich (أنا),bin,habe,wohne,komme,mache,heiße
du (أنت),bist,hast,wohnst,kommst,machst,heißt
er / es / sie (هو / محايد / هي),ist,hat,wohnt,kommt,macht,heißt
wir / sie / Sie (نحن / هم / حضرتك),sind,haben,wohnen,kommen,machen,heißen
ihr (أنتم),seid,habt,wohnt,kommt,macht,heißt
ب) أفعال يتغير فيها حرف العلة (e → i / ie),,,,,,
الضمير (Pronomen),nehmen (يأخذ),essen (يأكل),sprechen (يتحدث),lesen (يقرأ),sehen (يشاهد),
ich (أنا),nehme,esse,spreche,lese,sehe,
du (أنت),nimmst,isst,sprichst,liest,siehst,
er / es / sie,nimmt,isst,spricht,liest,sieht,
wir / sie / Sie,nehmen,essen,sprechen,lesen,sehen,
ihr,nehmt,esst,sprecht,lest,seht,
